replication,country_balance,physical_balance,scale_gap,direction_reversal
349,-0.2842105263,-0.5977584198,0.3135478935,False
350,-0.2631578947,-0.6393310309,0.3761731362,False
351,-0.2757894737,-0.3801560911,0.1043666174,False
352,-0.28,-0.295328974,0.01532897402,False
353,-0.2126315789,-0.2770211821,0.0643896032,False
354,-0.2715789474,-0.2442668986,-0.02731204874,False
355,-0.1915789474,-0.2313658869,0.03978693956,False
356,-0.3642105263,-0.8497365328,0.4855260065,False
357,-0.3389473684,-0.6330232909,0.2940759225,False
358,-0.1452631579,-0.3754577702,0.2301946123,False
359,-0.3431578947,-0.7185942163,0.3754363215,False
360,-0.3136842105,-0.55531524,0.2416310295,False
361,-0.2294736842,-0.3082091014,0.07873541715,False
362,-0.36,-0.664292003,0.304292003,False
363,-0.3642105263,-0.390718475,0.02650794872,False
364,-0.3642105263,-0.5360552025,0.1718446762,False
365,-0.2968421053,-0.5448597401,0.2480176349,False
366,-0.2294736842,-0.501994342,0.2725206578,False
367,-0.2463157895,-0.4802228571,0.2339070677,False
368,-0.3178947368,-0.7151213135,0.3972265767,False
369,-0.3052631579,-0.6492883781,0.3440252202,False
370,-0.4989473684,-0.6392663543,0.1403189859,False
371,-0.2126315789,-0.6619224291,0.4492908501,False
372,-0.2168421053,-0.4794445996,0.2626024944,False
373,-0.2126315789,-0.4460697007,0.2334381217,False
374,-0.2378947368,-0.2497649585,0.01187022162,False
375,-0.1157894737,-0.5933581514,0.4775686777,False
376,-0.1789473684,-0.4330524515,0.2541050831,False
377,-0.1242105263,-0.3807220841,0.2565115578,False
378,-0.2842105263,-0.5314173457,0.2472068194,False
379,-0.3894736842,-0.6771561978,0.2876825136,False
380,-0.1115789474,-0.1088266349,-0.002752312505,False
381,-0.2547368421,-0.4349432059,0.1802063638,False
382,-0.1873684211,-0.4185601973,0.2311917762,False
383,-0.1705263158,-0.3147469545,0.1442206387,False
384,-0.1452631579,-0.485395944,0.3401327861,False
385,-0.2884210526,-0.4169465965,0.1285255438,False
386,-0.2757894737,-0.4029757453,0.1271862716,False
387,-0.1747368421,-0.1117658103,-0.0629710318,False
388,-0.3389473684,-0.4140460947,0.07509872631,False
389,-0.2631578947,-0.4737169478,0.2105590531,False
390,-0.3684210526,-0.6773600028,0.3089389502,False
391,-0.2463157895,-0.5067880898,0.2604723004,False
392,-0.2589473684,-0.4419095741,0.1829622057,False
393,-0.3136842105,-0.575798966,0.2621147555,False
394,-0.2421052632,-0.2376199359,-0.004485327219,False
395,-0.1621052632,-0.4280620999,0.2659568367,False
396,-0.3473684211,-0.634180904,0.2868124829,False
397,-0.3010526316,-0.2198294551,-0.08122317649,False
398,-0.3052631579,-0.5889735351,0.2837103772,False
399,-0.2378947368,-0.31052986,0.07263512312,False
400,-0.3094736842,-0.555886237,0.2464125528,False
401,-0.4484210526,-0.6138596017,0.1654385491,False
402,-0.2631578947,-0.6090087243,0.3458508296,False
403,-0.1368421053,-0.05667933842,-0.08016276685,False
404,-0.1410526316,-0.4150535666,0.274000935,False
405,-0.3094736842,-0.7205360534,0.4110623692,False
406,-0.1368421053,-0.04404806581,-0.09279403946,False
407,-0.2842105263,-0.5689655893,0.284755063,False
408,-0.09894736842,0.02273003181,-0.1216774002,True
409,-0.3010526316,-0.2470132692,-0.05403936242,False
410,-0.2168421053,-0.4985886964,0.2817465911,False
411,-0.4442105263,-0.8682919746,0.4240814483,False
412,-0.1957894737,-0.6557159548,0.4599264811,False
413,-0.2842105263,-0.5091283027,0.2249177764,False
414,-0.3642105263,-0.7111326634,0.3469221371,False
415,-0.1073684211,0.01324457146,-0.1206129925,True
416,-0.2336842105,-0.6971164265,0.463432216,False
417,-0.08631578947,-0.1098698911,0.02355410162,False
